country,country_clean,title,views_total,views_median,title_clean,lat,long,city/mountain/poi,extract
Algeria,Algeria,Of_Gods_and_Men_(film),292336,200.0930869,Of Gods and Men ,35.699,-0.636,Oran,"Of Gods and Men is a 2010 French drama film directed by Xavier Beauvois, starring Lambert Wilson and Michael Lonsdale. Its original French language title is Des hommes et des dieux, which means Of Men..."""
Algeria,Algeria,Far_from_Men,198714,136.0123203,Far from Men,35.404,8.124,Tébess,"Far from Men (French: Loin des hommes) is a 2014 French drama film directed by David Oelhoffen. Set in French Colonial Algeria, the narrative follows Daru, a reclusive, pacifist, Algerian-born French teacher..."
Algeria,Algeria,The_Sheik_(film),186707,127.7939767,The Sheik ,36.365,6.615,Constantine Constantine,"The Sheik is a 1921 American silent romantic drama film produced by Famous Players-Lasky, directed by George Melford, starring Rudolph Valentino and Agnes Ayres, and featuring Adolphe Menjou.  It was based..."
Algeria,Algeria,Days_of_Glory_(2006_film),181208,124.0301164,Days of Glory (2006 film),34.85,5.728,Biskra,"Days of Glory (French: Indigènes - Natives""; Arabic: بلديون‎) is a 2006 French film directed by  Rachid Bouchareb. The cast includes Sami Bouajila,  Jamel Debbouze, Samy Naceri, Roschdy Zem, Mélanie Laurent..."""
Algeria,Algeria,Algiers_(film),151111,103.4298426,Algiers ,36.191,5.414,Sétif,"Algiers is a 1938 American drama film directed by John Cromwell and starring Charles Boyer, Sigrid Gurie, and Hedy Lamarr. Written by John Howard Lawson, the film is about a notorious French jewel thief..."
Algeria,Algeria,Lost_Command,127870,87.5222450,Lost Command,35.556,6.174,Batna City,"Lost Command is a 1966 war film starring Anthony Quinn, Alain Delon, George Segal, Michèle Morgan, Maurice Ronet and Claudia Cardinale. The film, which was directed by Mark Robson, was based on the best..."
Algeria,Algeria,Carry_On_Spying,102099,69.8829569,Carry On Spying,36.726,3.183,Bab Ezzouar,"Carry On Spying is a 1964 film, the ninth in the series of Carry On films to be made. It marks Barbara Windsor's first appearance in the series. Series regulars Kenneth Williams, Charles Hawtrey, and Jim..."
Algeria,Algeria,The_Garden_of_Allah_(1936_film),99781,68.2963723,The Garden of Allah (1936 film),36.9,7.767,Annaba,"The Garden of Allah is a 1936 American film made by Selznick International Pictures, directed by Richard Boleslawski and produced by David O. Selznick. The screenplay was written by William P. Lipscomb..."
American_Samoa,American Samoa,Next_Goal_Wins,100795,68.9904175,Next Goal Wins,-14.278,-170.702,Pago Pago,Next Goal Wins is a 2014 British documentary film directed by Mike Brett and Steve Jamison. The film chronicles the national football team of American Samoa as they try to recover from the indignity of...
American_Samoa,American Samoa,Rain_(1932_film),97305,66.6016427,Rain (1932 film),-14.336,-170.72,Tāfuna,"Rain is a 1932 Pre-Code South Seas drama film directed by Lewis Milestone with portions filmed at Santa Catalina Island, California. The pre-Code film stars Joan Crawford as prostitute Sadie Thompson and..."
American_Samoa,American Samoa,Sadie_Thompson,95420,65.3114305,Sadie Thompson,-14.344,-170.785,Leone,"Sadie Thompson is a 1928 American silent drama film that tells the story of a fallen woman"" who comes to Pago Pago on the island of Tutuila to start a new life, but encounters a zealous missionary who..."""
American_Samoa,American Samoa,Miss_Sadie_Thompson,73458,50.2792608,Miss Sadie Thompson,-14.332,-170.744,Faleniu,"Miss Sadie Thompson is a 1953 American 3D film starring Rita Hayworth, Aldo Ray and José Ferrer, and was released by Columbia Pictures. The film is based on the W. Somerset Maugham short story Miss Thompson..."""
American_Samoa,American Samoa,Hurricane_(1979_film),58669,40.1567420,Hurricane (1979 film),-14.276,-170.664,Aūa,"Hurricane is a 1979 romance and adventure film featuring Mia Farrow and Jason Robards, produced by Dino De Laurentiis with Lorenzo Semple Jr. (who also wrote the screenplay), and directed by Jan Troell..."
American_Samoa,American Samoa,Lost_and_Found_on_a_South_Sea_Island,11273,7.7159480,Lost and Found on a South Sea Island,-14.331,-170.753,Mapusagafou,Lost and Found on a South Sea Island is a 1923 drama film directed by Raoul Walsh and produced by Samuel Goldwyn. The American movie was filmed on location in Tahiti and includes a nude scene involving...
Andorra,Andorra,Don't_Take_The_Name_Of_God_In_Vain,3889,2.6618754,Don't Take The Name Of God In Vain,42.508,1.521,Andorra la Vella,"Don't Take The Name Of God In Vain (Catalan: No Pronunciarás el Nomere de Dios en Vano) is a 1999 Andorran short film, directed by Josep Guirao. The film is 32 minutes long. It is reportedly based on the..."
Angola,Angola,Red_Scorpion,239289,163.7843943,Red Scorpion,-8.837,13.234,Luanda,"Red Scorpion is a 1988 American action film starring Dolph Lundgren and directed by Joseph Zito. The film was released in the United States on April 21, 1989. Plot: Lieutenant Nikolai Petrovitch Rachenko..."
Angola,Angola,Sweepers_(film),31653,21.6652977,Sweepers ,-9.298,14.912,N'dalatando,"Sweepers is a 1998 American and South African action film directed by Keoni Waxman and starring Dolph Lundgren as Christian Erickson, a leading demolition expert trained to disarm mine fields in a humanitarian..."
Angola,Angola,Namibia:_The_Struggle_for_Liberation,25113,17.1889117,Namibia: The Struggle for Liberation,-12.776,15.739,Huambo,"Namibia: The Struggle for Liberation is a 2007 epic film on the Namibian independence struggle against South African occupation as seen through the life of Lot Ipinge, the leader of the South West Africa..."
Angola,Angola,Any_Man's_Death,16402,11.2265572,Any Man's Death,-12.364,13.536,Lobito,"Any Man's Death is a 1990 South African thriller-drama film directed  by Tom Clegg and starring John Savage, William Hickey, Mia Sara and Ernest Borgnine. Plot: An investigative journalist (John Savage..."
Angola,Angola,Sambizanga_(film),16134,11.0431211,Sambizanga ,-12.576,13.405,Benguela,"Sambizanga is a 1972 film by director Sarah Maldoror. Set in 1961 at the onset of the Angolan War of Independence, it follows the struggles of Angolan militants involved with the Popular Movement for the..."
Angola,Angola,The_Hero_(2004_film),15835,10.8384668,The Hero (2004 film),-12.383,16.933,Kuito,The Hero (Portuguese: O Herói) is a 2004 Angolan-Portuguese-French film directed by Zézé Gamboa. It was filmed on location in Angola and won the World Dramatic Competition Grand Prize at the 2005 Sundance...
Angola,Angola,Boetie_Gaan_Border_Toe,12721,8.7070500,Boetie Gaan Border Toe,-14.917,13.492,Lubango,"Boetie Gaan Border Toe is a 1984 satire film set during the South African Border War. The film was directed by Regardt van den Bergh, and stars Arnold Vosloo, Frank Dankert and Frank Opperman. Production..."
Angola,Angola,"Cuba,_an_African_Odyssey",8918,6.1040383,"Cuba, an African Odyssey",-9.54,16.341,Malanje,"Cuba, an African Odyssey is a French 2007 documentary film directed by Jihan El Tahri. Synopsis: From the early 1960s to the early 1990s, Cuba was instrumental in supporting a number of leftist insurgencies..."
Angola,Angola,Will_Our_Heroes_Be_Able_to_Find_Their_Friend_Who_Has_Mysteriously_Disappeared_in_Africa?,8510,5.8247775,Will Our Heroes Be Able to Find Their Friend Who Has Mysteriously Disappeared in Africa?,-15.196,12.152,Namibe,"Riusciranno i nostri eroi a ritrovare l'amico misteriosamente scomparso in Africa?, internationally released as Will Our Heroes Be Able to Find Their Friend Who Has Mysteriously Disappeared in Africa?..."
Angola,Angola,Plot_for_Peace,7546,5.1649555,Plot for Peace,-6.135,12.369,Soyo,Plot For Peace is a 2013 South African documentary directed by Carlos Agulló and Mandy Jacobson.The film tells the story of Algerian-born French businessman Jean-Yves Ollivier's involvement in Cold War...
Antarctica,Antarctica,Watchmen_(film),5901745,4039.5242984,Watchmen ,-78.75,-85,Ellsworth Mountains  ,"Watchmen is a 2009 American neo-noir superhero film directed by Zack Snyder, based on the 1986–87 DC Comics limited series of the same name by Alan Moore and Dave Gibbons. It stars an ensemble cast of..."
Antarctica,Antarctica,The_Thing_(1982_film),3847821,2633.6899384,The Thing (1982 film),-78.167,-85.5,Sentinel Range  ,"The Thing is a 1982 American science fiction horror film directed by John Carpenter and written by Bill Lancaster. Based on the 1938 John W. Campbell Jr. novella Who Goes There?, it tells the story of..."
Antarctica,Antarctica,The_Day_After_Tomorrow,2859918,1957.5071869,The Day After Tomorrow,-78.525,-85.617,Mount Vinson,"The Day After Tomorrow is a 2004 American science fiction disaster film co-written, directed, and produced by Roland Emmerich and starring Dennis Quaid, Jake Gyllenhaal, Ian Holm, Emmy Rossum, and Sela..."
Antarctica,Antarctica,Alien_vs._Predator_(film),2495523,1708.0924025,Alien vs. Predator ,-78.583,-85.417,Vinson Massif  ,"Alien vs. Predator (also known as AVP) is a 2004 science fiction action film written and directed by Paul W. S. Anderson, and starring Sanaa Lathan, Raoul Bova, Lance Henriksen and Ewen Bremner. It is..."
Antarctica,Antarctica,The_Thing_(2011_film),1911377,1308.2662560,The Thing (2011 film),-78.4,-85.917,Mount Tyree  ,"The Thing is a  2011 science fiction horror film directed by Matthijs van Heijningen Jr., written by Eric Heisserer, and starring Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Adewale Akinnuoye..."
Antarctica,Antarctica,Happy_Feet,1791645,1226.3141684,Happy Feet,-78.536,-85.513,Clinch Peak  ,"Happy Feet is a 2006 computer-animated musical comedy film directed, produced, and co-written by George Miller. It stars the voices of Elijah Wood, Robin Williams, Brittany Murphy, Hugh Jackman, Nicole..."
Antarctica,Antarctica,The_X-Files_(film),1380356,944.8021903,The X-Files ,-78.525,-85.547,Corbet Peak  ,The X-Files (also known as The X-Files: Fight the Future) is a 1998 American science fiction thriller film directed by Rob Bowman. Chris Carter wrote the screenplay. The story is by Carter and Frank Spotnitz...
Antarctica,Antarctica,Eight_Below,1317655,901.8856947,Eight Below,-78.547,-85.654,Silverstein Peak  ,"Eight Below is a 2006 American survival drama film based on Antarctica  by Toshirô Ishidô, Koreyoshi Kurahara, Tatsuo Nogami and Susumu Saji. It was produced by Patrick Crowley and David Hoberman, directed..."
Antarctica,Antarctica,Iron_Sky:_The_Coming_Race,776807,531.6954141,Iron Sky: The Coming Race,-78.527,-85.466,Schoening Peak  ,"Iron Sky: The Coming Race is a 2019 Finnish-German comic science fiction action film directed by Timo Vuorensola. The sequel to Vuorensola's 2012 film Iron Sky, its production was crowdfunded through Indiegogo..."
Antarctica,Antarctica,The_Three_Caballeros,775114,530.5366188,The Three Caballeros,-78.55,-85.525,Wahlstrom Peak  ,"The Three Caballeros is a 1944 American live-action animated musical package film produced by Walt Disney and released by RKO Radio Pictures. The film premiered in Mexico City on December 21, 1944. It..."
Antigua_and_Barbuda,Antigua and Barbuda,The_Sweetest_Mango,7740,5.2977413,The Sweetest Mango,17.121,-61.843,St John's,"The Sweetest Mango is a 2001 romantic comedy film, the first feature film produced in Antigua and Barbuda. It was directed and produced by Howard Allen and Mitzi Allen. The film was intended as millennium..."""
Argentina,Argentina,Kingsman:_The_Secret_Service,10672707,7305.0698152,Kingsman: The Secret Service,-34.613,-58.377,Buenos Aires ,"Kingsman: The Secret Service is a 2014 action spy comedy film directed and produced by Matthew Vaughn. The screenplay, written by Vaughn and Jane Goldman, is based on Dave Gibbons's and Mark Millar's comic..."
Argentina,Argentina,X-Men:_First_Class,4983727,3411.1752225,X-Men: First Class,-31.413,-64.181,Córdoba ,"X-Men: First Class (stylized onscreen as X: First Class) is a 2011 superhero film based on the X-Men characters appearing in Marvel Comics. The fifth installment in the X-Men film series, it was directed..."
