country,title
Italy,"The_Twelve_Tasks_of_Asterix"
Italy,"The_Two_Gladiators"
Italy,"Willy_McBean_and_His_Magic_Machine"
Italy,"100_Horsemen"
Italy,"1860_(film)"
Italy,"1870_(film)"
Italy,"1900_(film)"
Italy,"L'abito_nero_da_sposa"
Italy,"An_Adventure_of_Salvator_Rosa"
Italy,"The_Adventurer_of_Tortuga"
Italy,"Agrippina_(film)"
Italy,"Aida_(1953_film)"
Italy,"Allonsanfàn"
Italy,"The_Ambassador_(1936_film)"
Italy,"Andrea_Chénier_(film)"
Italy,"Angelica_and_the_King"
Italy,"Anthony_of_Padua_(film)"
Italy,"Antonio_Meucci_(film)"
Italy,"Antony_and_Cleopatra_(1913_film)"
Italy,"The_Assassin_of_Rome"
Italy,"Asterix_and_Obelix:_God_Save_Britannia"
Italy,"At_Sword's_Edge"
Italy,"Attack_of_the_Normans"
Italy,"The_Bandit_of_Tacca_Del_Lupo"
Italy,"Beatrice_(1919_film)"
Italy,"Beatrice_(1987_film)"
Italy,"Beatrice_Cenci_(1909_film)"
Italy,"Beatrice_Cenci_(1926_film)"
Italy,"Beatrice_Cenci_(1941_film)"
Italy,"Beatrice_Cenci_(1956_film)"
Italy,"The_Beautiful_Otero"
Italy,"The_Beggar's_Daughter"
Italy,"Berlin-Jerusalem"
Italy,"The_Betrothed_(1923_film)"
Italy,"The_Betrothed_(1941_film)"
Italy,"The_Betrothed_(1964_film)"
Italy,"The_Black_Captain"
Italy,"The_Black_Corsair_(1937_film)"
Italy,"The_Black_Devil_(film)"
Italy,"Black_Eagle_(1946_film)"
Italy,"Black_Gold_(2011_Qatari_film)"
Italy,"The_Black_Tulip_(1964_film)"
Italy,"Blackie_the_Pirate"
Italy,"Blame_It_on_Fidel"
Italy,"The_Blind_Woman_of_Sorrento_(1916_film)"
Italy,"The_Blind_Woman_of_Sorrento_(1952_film)"
Italy,"The_Blind_Woman_of_Sorrento_(1934_film)"
Italy,"Blood_Wedding_(1941_film)"
Italy,"The_Bloody_Judge_(film)"
Italy,"Boccaccio_(1940_film)"
Italy,"Le_Bossu_(1959_film)"
Italy,"Brancaleone_at_the_Crusades"
Italy,"The_Bread_Peddler_(1950_film)"
Italy,"The_Bread_Peddler_(1963_film)"
Italy,"Brideshead_Revisited_(film)"
Italy,"Il_Brigante_Musolino"
Italy,"Brother_Sun,_Sister_Moon"
Italy,"Brutus_(1911_film)"
Italy,"Cabiria"
Italy,"Caligula_(film)"
Italy,"Caligula..._The_Untold_Story"
Italy,"Call_of_the_Blood"
Italy,"Captain_Demonio"
Italy,"Captain_Falcon_(film)"
Italy,"Captain_Fracasse_(1919_film)"
Italy,"Captain_Fracasse_(1940_film)"
Italy,"Captain_Fracasse_(1943_film)"
Italy,"Captain_Fracasse_(1961_film)"
Italy,"The_Captain_of_Venice"
Italy,"Captain_Phantom"
Italy,"The_Captain's_Daughter_(1947_film)"
Italy,"Caravaggio_(1941_film)"
Italy,"Cardinal_Messias"
Italy,"Carmen_(1942_film)"
Italy,"Il_caso_Pisciotta"
Italy,"Casta_Diva_(1935_film)"
Italy,"Catherine_of_Russia_(film)"
Italy,"Cavalcade_of_Heroes"
Italy,"Il_cavaliere_misterioso"
Italy,"Charge_of_the_Black_Lancers"
Italy,"El_Cid_(film)"
Italy,"Concert_of_Intrigue"
Italy,"Condemned_to_Hang"
Italy,"Conspiracy_of_the_Borgias"
Italy,"The_Conspiracy_of_Torture"
Italy,"The_Contessa's_Secret"
Italy,"The_Corsican_Brothers_(1961_film)"
Italy,"The_Count_of_Brechard"
Italy,"The_Count_of_Saint_Elmo"
Italy,"The_Countess_of_Castiglione"
Italy,"The_Courier_of_Moncenisio_(1916_film)"
Italy,"The_Courier_of_Moncenisio_(1927_film)"
Italy,"The_Courier_of_Moncenisio_(1956_film)"
Italy,"The_Courier_of_the_King"
Italy,"The_Crusaders_(2001_film)"
Italy,"The_Crusaders_(1918_film)"
Italy,"The_Dance_of_Death_(1948_film)"
Italy,"Daniele_Cortis"
Italy,"The_Daughter_of_the_Green_Pirate"
Italy,"The_Day_of_the_Siege:_September_Eleven_1683"
Italy,"Daughters_of_Destiny"
Italy,"Devils_of_Monza"
Italy,"The_Diabolikal_Super-Kriminal"
Italy,"Dialogue_with_the_Carmelites"
Italy,"Doctor_Antonio_(1914_film)"
Italy,"Doctor_Antonio_(1937_film)"
Italy,"Don_Bosco_(1935_film)"
Italy,"Don_Cesare_di_Bazan"
Italy,"Don_Juan_(1956_film)"
Italy,"Downfall_(2004_film)"
Italy,"The_Duchess_of_Langeais"
Italy,"I_due_sanculotti"
Italy,"Duel_of_Champions"
Italy,"Eleonora_Duse_(film)"
Italy,"Eran_trecento"
Italy,"Un_eroe_borghese"
Italy,"Eternal_Melodies"
Italy,"Ettore_Fieramosca_(1938_film)"
Italy,"Eugenia_Grandet"
Italy,"Eugenia_Grandet_(1918_film)"
Italy,"Fabiola_(1918_film)"
Italy,"Fabiola_(1949_film)"
Italy,"Fatal_Desire_(film)"
Italy,"Figaro_Here,_Figaro_There"
Italy,"The_First_Woman_Who_Passes"
Italy,"Forbidden_Music"
Italy,"Il_Fornaretto_di_Venezia"
Italy,"The_Fornaretto_of_Venice"
Italy,"La_Fornarina_(film)"
Italy,"Frate_Sole"
Italy,"French_Cancan"
Italy,"Frine,_Courtesan_of_Orient"
Italy,"Galileo_(1968_film)"
Italy,"Garibaldi_(film)"
Italy,"Un_garibaldino_al_convento"
Italy,"Gentlemen_Are_Born_(1960_film)"
Italy,"Gentlemen_of_the_Night"
Italy,"The_Giants_of_Thessaly"
Italy,"Ginevra_degli_Almieri"
Italy,"Giuseppe_Verdi_(film)"
Italy,"Gold_for_the_Caesars"
Italy,"Goodbye_Youth_(1927_film)"
Italy,"Goodbye_Youth_(1940_film)"
Italy,"The_Gorgon_(1942_film)"
Italy,"Grasshoppers_(Cavallette)"
Italy,"Guarany_(film)"
Italy,"Guns_for_San_Sebastian"
Italy,"Hamlet_(1917_film)"
Italy,"A_Handful_of_Heroes"
Italy,"Hannibal_(1959_film)"
Italy,"Head_of_a_Tyrant"
Italy,"Heaven_over_the_Marshes"
Italy,"The_Horrible_Dr._Hichcock"
Italy,"House_of_Ricordi"
Italy,"The_Hunchback_of_Notre_Dame_(1956_film)"
Italy,"I_Love_You_Only"
Italy,"Imperial_Venus_(film)"
Italy,"Imperium:_Pompeii"
Italy,"Imperium:_Saint_Peter"
Italy,"In_the_Name_of_the_Pope_King"
Italy,"The_Infamous_Column"
Italy,"The_Innkeeper"
Italy,"Invasion_1700"
Italy,"Island_of_the_Fishmen"
Italy,"The_Italian_Brigands"
Italy,"Ivan_the_Terrible_(1917_film)"
Italy,"Ivan,_Son_of_the_White_Devil"
Italy,"Ivanhoe,_the_Norman_Swordsman"
Italy,"The_Jester's_Supper_(film)"
Italy,"Joan_of_Arc_at_the_Stake"
Italy,"The_Joker_King"
Italy,"Judith_and_Holofernes_(1929_film)"
Italy,"Julius_Caesar_(1914_film)"
Italy,"Kampf_um_Rom"
Italy,"Kean_(1940_film)"
Italy,"Kean:_Genius_or_Scoundrel"
Italy,"Keep_an_Eye_on_Amelia"
Italy,"Kidnapped_to_Mystery_Island"
Italy,"The_King_is_the_Best_Mayor"
Italy,"King_Lear_(1910_film)"
Italy,"The_King's_Jester"
Italy,"The_Knight_of_San_Marco"
Italy,"The_Knight_of_the_Black_Sword"
Italy,"The_Knights_of_the_Quest"
Italy,"Koenigsmark_(1953_film)"
Italy,"La_Fayette_(film)"
Italy,"The_Lady_of_Monza"
Italy,"The_Lady_of_the_Camellias_(1915_Negroni_film)"
Italy,"The_Lady_of_the_Camellias_(1915_Serena_film)"
Italy,"The_Lady_of_the_Camellias_(1981_film)"
Italy,"The_Last_Days_of_Pompeii_(1908_film)"
Italy,"The_Last_Days_of_Pompeii_(1926_film)"
Italy,"The_Last_Mistress"
Italy,"The_Last_of_the_Vikings"
Italy,"Leathernose"
Italy,"Legend_of_Love"
Italy,"Liolà_(film)"
Italy,"The_Lion_of_Amalfi"
Italy,"Lorenzaccio_(film)"
Italy,"Love_and_Poison_(film)"
Italy,"The_Lovely_Lola"
Italy,"The_Lovers_of_Manon_Lescaut"
Italy,"Lovers_of_Toledo"
Italy,"Loyalty_of_Love"
Italy,"Lucrèce_Borgia"
Italy,"Lucrezia_Borgia_(1912_film)"
Italy,"Lucrezia_Borgia_(1940_film)"
Italy,"Ludwig_(film)"
Italy,"Luisa_Sanfelice_(2004_film)"
Italy,"Luisa_Sanfelice_(1942_film)"
Italy,"Macbeth_(1909_Italian_film)"
Italy,"Madame_(1961_film)"
Italy,"Madame_Bovary_(1969_film)"
Italy,"Madame_du_Barry_(1954_film)"
Italy,"Madame_Guillotine_(1916_film)"
Italy,"Mademoiselle_Gobete"
Italy,"The_Magnificent_Adventurer"
Italy,"Il_malato_immaginario"
Italy,"Malombra_(1942_film)"
Italy,"Manon_Lescaut_(1940_film)"
Italy,"Il_Marchese_del_Grillo"
Italy,"Marco_the_Magnificent"
Italy,"Marco_Visconti_(1925_film)"
Italy,"Marco_Visconti_(1941_film)"
Italy,"Margaret_of_Cortona_(film)"
Italy,"Marie_Antoinette_Queen_of_France"
Italy,"Marie_of_the_Isles"
Italy,"Mary_Tudor_(1911_film)"
Italy,"Massacre_at_Marble_City"
Italy,"Massacre_in_the_Black_Forest"
Italy,"Mata_Hari,_Agent_H21"
Italy,"Messalina_(1924_film)"
Italy,"Metello"
Italy,"Michel_Strogoff_(1956_film)"
Italy,"The_Mighty_Crusaders_(film)"
Italy,"Milady_and_the_Musketeers"
Italy,"Les_Misérables_(1948_film)"
Italy,"The_Mistress_of_Treves_(film)"
Italy,"The_Mongols_(film)"
Italy,"The_Monk_of_Monza"
Italy,"Morgan,_the_Pirate"
Italy,"Mussolini_and_I"
Italy,"The_Naked_Maja"
Italy,"Naples_of_Olden_Times"
Italy,"Napoléon_(1955_film)"
Italy,"Neapolitan_Carousel"
Italy,"Nero_(1922_film)"
Italy,"Nero_and_the_Burning_of_Rome"
Italy,"Nerone_(1930_film)"
Italy,"One_Russian_Summer"
Italy,"The_Organizer"
Italy,"Otello_(1906_film)"
Italy,"The_Pagans_(film)"
Italy,"Palio_(1932_film)"
Italy,"The_Paris_Waltz"
