country,title
France,"War_and_Peace_(film_series)"
France,"War_and_Peace_(1915_film)"
France,"War_and_Peace_(1956_film)"
France,"War_and_Peace_(1972_TV_series)"
France,"War_and_Peace_(2007_miniseries)"
France,"War_&_Peace_(2016_TV_series)"
Italy,"List_of_actors_who_have_played_Jesus"
Italy,"Christ_Walking_on_the_Water"
Italy,"From_the_Manger_to_the_Cross"
Italy,"Godspell_(film)"
Italy,"The_Gospel_According_to_St._Matthew_(film)"
Italy,"The_Gospel_of_John_(2014_film)"
Italy,"The_Greatest_Story_Ever_Told"
Italy,"The_Holy_Family_(film)"
Italy,"Jesus_–_The_Film"
Italy,"Jesus_(1973_film)"
Italy,"Jesus_(1979_film)"
Italy,"Jesus_(1999_film)"
Italy,"Jesus_of_Nazareth_(miniseries)"
Italy,"Jesús,_nuestro_Señor"
Italy,"Karunamayudu"
Italy,"Killing_Jesus_(2015_film)"
Italy,"King_of_Kings_(1961_film)"
Italy,"Kristo_(1996_film)"
Italy,"The_Last_Temptation_of_Christ_(film)"
Italy,"The_Martyr_of_Calvary"
Italy,"Men_Ajlikom"
Italy,"The_Messiah_(2007_film)"
Italy,"Muppathu_Vellikkasu"
Italy,"The_Savior_(2014_film)"
Italy,"Shanti_Sandesham"
Italy,"Son_of_God_(film)"
Italy,"Son_of_Man_(play)"
Italy,"The_Testaments_of_One_Fold_and_One_Shepherd"
Italy,"Vie_et_Passion_du_Christ"
Italy,"The_Visual_Bible:_Matthew"
Italy,"Bloodline_(2008_film)"
Italy,"The_God_Who_Wasn't_There"
Italy,"The_Lost_Tomb_of_Jesus"
Italy,"The_Muslim_Jesus"
Italy,"Son_of_God_(TV_series)"
Japan,"Rurouni_Kenshin_(film)"
Japan,"Rurouni_Kenshin:_Kyoto_Inferno"
Japan,"Rurouni_Kenshin:_The_Legend_Ends"
