title_clean,lat,long,country
Aguner Poroshmoni,25.747,89.252,Bangladesh
Meherjaan,23.892,90.402,Bangladesh
Jalal's Story,23.923,90.718,Bangladesh
The Story of Adele H.,13.107,-59.62,Barbados
The Tamarind Seed,13.251,-59.644,Barbados
Mission: Impossible – Rogue Nation,53.9,27.567,Belarus
Defiance (2008 film),52.434,30.975,Belarus
Come and See,53.917,30.345,Belarus
Europa Europa,55.19,30.205,Belarus
Killing Kennedy ,53.688,23.826,Belarus
The Ascent,52.098,23.688,Belarus
Fortress of War,53.138,29.221,Belarus
Franz + Polina,53.133,26.014,Belarus
In the Fog,54.228,28.505,Belarus
On the Nameless Height,52.123,26.095,Belarus
Wonder Woman (2017 film),50.85,4.349,Belgium
PK ,51.22,4.403,Belgium
Cloud Atlas ,51.05,3.717,Belgium
The Equalizer 2,50.411,4.444,Belgium
Welcome to Marwen,50.634,5.567,Belgium
Snatch ,50.88,4.701,Belgium
War Horse ,50.467,4.867,Belgium
In Bruges,51.209,3.224,Belgium
The Monuments Men,50.454,3.952,Belgium
Patton ,51.221,4.466,Belgium
The Mosquito Coast,17.5,-88.198,Belize
Mega Piranha,17.159,-89.07,Belize
Alien Origin,18.081,-88.563,Belize
2012: Kurse a di Xtabai,17.25,-88.767,Belize
The Comedians in Africa,6.365,2.418,Benin
Femmes aux yeux ouverts,6.449,2.356,Benin
Godzilla: King of the Monsters (2019 film),32.382,-64.678,Bermuda
The Deep (1977 film),32.295,-64.783,Bermuda
The Chipmunk Adventure,32.306,-64.814,Bermuda
That Touch of Mink,32.253,-64.839,Bermuda
The Triangle ,32.28,-64.886,Bermuda
Hopscotch ,32.287,-64.873,Bermuda
Everest (2015 film),27.466,89.642,Bhutan
Batman Begins,27.591,89.877,Bhutan
2012,27.022,90.123,Bhutan
G.I. Joe: Retaliation,26.852,89.388,Bhutan
Smallfoot ,27.038,91.403,Bhutan
Planes ,26.864,90.267,Bhutan
Ace Ventura: When Nature Calls,27.486,89.899,Bhutan
Little Buddha,26.801,91.505,Bhutan
Everest (1998 film),26.899,89.1,Bhutan
Into Thin Air: Death on Everest,27.549,90.752,Bhutan
Scarface (1983 film),-17.786,-63.181,Bolivia
The Lost City of Z ,-17.389,-66.157,Bolivia
Quantum of Solace,-16.5,-68.15,Bolivia
Butch Cassidy and the Sundance Kid,-19.033,-65.263,Bolivia
The Losers ,-17.983,-67.15,Bolivia
Our Brand Is Crisis (2015 film),-21.535,-64.73,Bolivia
Che (2008 film),-19.584,-65.753,Bolivia
Saludos Amigos,-17.398,-66.038,Bolivia
Even the Rain,-17.339,-63.251,Bolivia
Salt and Fire,-17.392,-66.278,Bolivia
Behind Enemy Lines (2001 film),43.849,18.356,Bosnia_and_Herzegovina
Batman: Under the Red Hood,44.778,17.194,Bosnia_and_Herzegovina
The Whistleblower,44.202,17.904,Bosnia_and_Herzegovina
