country,title,clean_title,extract
Algeria,"Carry_On_Spying","Carry On Spying","Carry On Spying is a 1964 film, the ninth in the series of Carry On films to be made. It marks Barbara Windsor's first appearance in the series. Series regulars Kenneth Williams, Charles Hawtrey, and Jim..."
Algeria,"The_Garden_of_Allah_(1936_film)","The Garden of Allah (1936 film)","The Garden of Allah is a 1936 American film made by Selznick International Pictures, directed by Richard Boleslawski and produced by David O. Selznick. The screenplay was written by William P. Lipscomb..."
American Samoa,"Next_Goal_Wins","Next Goal Wins","Next Goal Wins is a 2014 British documentary film directed by Mike Brett and Steve Jamison. The film chronicles the national football team of American Samoa as they try to recover from the indignity of..."
American Samoa,"Rain_(1932_film)","Rain (1932 film)","Rain is a 1932 Pre-Code South Seas drama film directed by Lewis Milestone with portions filmed at Santa Catalina Island, California. The pre-Code film stars Joan Crawford as prostitute Sadie Thompson and..."
American Samoa,"Sadie_Thompson","Sadie Thompson","Sadie Thompson is a 1928 American silent drama film that tells the story of a "fallen woman" who comes to Pago Pago on the island of Tutuila to start a new life, but encounters a zealous missionary who..."
American Samoa,"Miss_Sadie_Thompson","Miss Sadie Thompson","Miss Sadie Thompson is a 1953 American 3D film starring Rita Hayworth, Aldo Ray and José Ferrer, and was released by Columbia Pictures. The film is based on the W. Somerset Maugham short story "Miss Thompson..."
American Samoa,"Hurricane_(1979_film)","Hurricane (1979 film)","Hurricane is a 1979 romance and adventure film featuring Mia Farrow and Jason Robards, produced by Dino De Laurentiis with Lorenzo Semple Jr. (who also wrote the screenplay), and directed by Jan Troell..."
American Samoa,"Lost_and_Found_on_a_South_Sea_Island","Lost and Found on a South Sea Island","Lost and Found on a South Sea Island is a 1923 drama film directed by Raoul Walsh and produced by Samuel Goldwyn. The American movie was filmed on location in Tahiti and includes a nude scene involving..."
Andorra,"Don't_Take_The_Name_Of_God_In_Vain","Don't Take The Name Of God In Vain","Don't Take The Name Of God In Vain (Catalan: No Pronunciarás el Nomere de Dios en Vano) is a 1999 Andorran short film, directed by Josep Guirao. The film is 32 minutes long. It is reportedly based on the..."
Angola,"Red_Scorpion","Red Scorpion","Red Scorpion is a 1988 American action film starring Dolph Lundgren and directed by Joseph Zito. The film was released in the United States on April 21, 1989. Plot: Lieutenant Nikolai Petrovitch Rachenko..."
Angola,"Sweepers_(film)","Sweepers (film)","Sweepers is a 1998 American and South African action film directed by Keoni Waxman and starring Dolph Lundgren as Christian Erickson, a leading demolition expert trained to disarm mine fields in a humanitarian..."
Angola,"Namibia:_The_Struggle_for_Liberation","Namibia: The Struggle for Liberation","Namibia: The Struggle for Liberation is a 2007 epic film on the Namibian independence struggle against South African occupation as seen through the life of Lot Ipinge, the leader of the South West Africa..."
Angola,"Any_Man's_Death","Any Man's Death","Any Man's Death is a 1990 South African thriller-drama film directed  by Tom Clegg and starring John Savage, William Hickey, Mia Sara and Ernest Borgnine. Plot: An investigative journalist (John Savage..."
Angola,"Sambizanga_(film)","Sambizanga (film)","Sambizanga is a 1972 film by director Sarah Maldoror. Set in 1961 at the onset of the Angolan War of Independence, it follows the struggles of Angolan militants involved with the Popular Movement for the..."
Angola,"The_Hero_(2004_film)","The Hero (2004 film)","The Hero (Portuguese: O Herói) is a 2004 Angolan-Portuguese-French film directed by Zézé Gamboa. It was filmed on location in Angola and won the World Dramatic Competition Grand Prize at the 2005 Sundance..."
Angola,"Boetie_Gaan_Border_Toe","Boetie Gaan Border Toe","Boetie Gaan Border Toe is a 1984 satire film set during the South African Border War. The film was directed by Regardt van den Bergh, and stars Arnold Vosloo, Frank Dankert and Frank Opperman. Production..."
Angola,"Cuba,_an_African_Odyssey","Cuba, an African Odyssey","Cuba, an African Odyssey is a French 2007 documentary film directed by Jihan El Tahri. Synopsis: From the early 1960s to the early 1990s, Cuba was instrumental in supporting a number of leftist insurgencies..."
Angola,"Will_Our_Heroes_Be_Able_to_Find_Their_Friend_Who_Has_Mysteriously_Disappeared_in_Africa?","Will Our Heroes Be Able to Find Their Friend Who Has Mysteriously Disappeared in Africa?","Riusciranno i nostri eroi a ritrovare l'amico misteriosamente scomparso in Africa?, internationally released as Will Our Heroes Be Able to Find Their Friend Who Has Mysteriously Disappeared in Africa?..."
Angola,"Plot_for_Peace","Plot for Peace","Plot For Peace is a 2013 South African documentary directed by Carlos Agulló and Mandy Jacobson.The film tells the story of Algerian-born French businessman Jean-Yves Ollivier's involvement in Cold War..."
Antarctica,"Watchmen_(film)","Watchmen (film)","Watchmen is a 2009 American neo-noir superhero film directed by Zack Snyder, based on the 1986–87 DC Comics limited series of the same name by Alan Moore and Dave Gibbons. It stars an ensemble cast of..."
Antarctica,"The_Thing_(1982_film)","The Thing (1982 film)","The Thing is a 1982 American science fiction horror film directed by John Carpenter and written by Bill Lancaster. Based on the 1938 John W. Campbell Jr. novella Who Goes There?, it tells the story of..."
Antarctica,"The_Day_After_Tomorrow","The Day After Tomorrow","The Day After Tomorrow is a 2004 American science fiction disaster film co-written, directed, and produced by Roland Emmerich and starring Dennis Quaid, Jake Gyllenhaal, Ian Holm, Emmy Rossum, and Sela..."
Antarctica,"Alien_vs._Predator_(film)","Alien vs. Predator (film)","Alien vs. Predator (also known as AVP) is a 2004 science fiction action film written and directed by Paul W. S. Anderson, and starring Sanaa Lathan, Raoul Bova, Lance Henriksen and Ewen Bremner. It is..."
Antarctica,"The_Thing_(2011_film)","The Thing (2011 film)","The Thing is a  2011 science fiction horror film directed by Matthijs van Heijningen Jr., written by Eric Heisserer, and starring Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Adewale Akinnuoye..."
Antarctica,"Happy_Feet","Happy Feet","Happy Feet is a 2006 computer-animated musical comedy film directed, produced, and co-written by George Miller. It stars the voices of Elijah Wood, Robin Williams, Brittany Murphy, Hugh Jackman, Nicole..."
Antarctica,"The_X-Files_(film)","The X-Files (film)","The X-Files (also known as The X-Files: Fight the Future) is a 1998 American science fiction thriller film directed by Rob Bowman. Chris Carter wrote the screenplay. The story is by Carter and Frank Spotnitz..."
Antarctica,"Eight_Below","Eight Below","Eight Below is a 2006 American survival drama film based on Antarctica  by Toshirô Ishidô, Koreyoshi Kurahara, Tatsuo Nogami and Susumu Saji. It was produced by Patrick Crowley and David Hoberman, directed..."
Antarctica,"Iron_Sky:_The_Coming_Race","Iron Sky: The Coming Race","Iron Sky: The Coming Race is a 2019 Finnish-German comic science fiction action film directed by Timo Vuorensola. The sequel to Vuorensola's 2012 film Iron Sky, its production was crowdfunded through Indiegogo..."
Antarctica,"The_Three_Caballeros","The Three Caballeros","The Three Caballeros is a 1944 American live-action animated musical package film produced by Walt Disney and released by RKO Radio Pictures. The film premiered in Mexico City on December 21, 1944. It..."
Antigua and Barbuda,"The_Sweetest_Mango","The Sweetest Mango","The Sweetest Mango is a 2001 romantic comedy film, the first feature film produced in Antigua and Barbuda. It was directed and produced by Howard Allen and Mitzi Allen. The film was intended as "millennium..."
Argentina,"Kingsman:_The_Secret_Service","Kingsman: The Secret Service","Kingsman: The Secret Service is a 2014 action spy comedy film directed and produced by Matthew Vaughn. The screenplay, written by Vaughn and Jane Goldman, is based on Dave Gibbons's and Mark Millar's comic..."
Argentina,"X-Men:_First_Class","X-Men: First Class","X-Men: First Class (stylized onscreen as X: First Class) is a 2011 superhero film based on the X-Men characters appearing in Marvel Comics. The fifth installment in the X-Men film series, it was directed..."
Argentina,"Starship_Troopers_(film)","Starship Troopers (film)","Starship Troopers is a 1997 American satirical military science fiction action film directed by Paul Verhoeven and written by Edward Neumeier. It originally came from an unrelated script called Bug Hunt..."
Argentina,"Focus_(2015_film)","Focus (2015 film)","Focus is a 2015 American romantic crime comedy-drama film written and directed by Glenn Ficarra and John Requa, starring Will Smith and Margot Robbie. The film was released on February 27, 2015 and received..."
Argentina,"Operation_Finale","Operation Finale","Operation Finale is a 2018 American historical drama film directed by Chris Weitz, from a screenplay by Matthew Orton. The film stars Oscar Isaac (who also produced), Ben Kingsley, Lior Raz, Mélanie Laurent..."
Argentina,"The_Secret_in_Their_Eyes","The Secret in Their Eyes","The Secret in Their Eyes (Spanish: El secreto de sus ojos) is a 2009 crime drama film directed, co-written, produced and edited by Juan José Campanella, based on the novel La pregunta de sus ojos (The..."
Argentina,"Evita_(1996_film)","Evita (1996 film)","Evita is a 1996 American musical drama film based on the 1976 concept album of the same name produced by Tim Rice and Andrew Lloyd Webber, which also inspired a 1978 musical. The film depicts the life..."
Argentina,"The_Motorcycle_Diaries_(film)","The Motorcycle Diaries (film)","The Motorcycle Diaries (Spanish: Diarios de motocicleta) is a 2004 biopic about the journey and written memoir of the 23-year-old Ernesto Guevara, who would several years later become internationally known..."
Argentina,"Gilda","Gilda","Gilda is a 1946 American film noir directed by Charles Vidor and starring Rita Hayworth in her signature role as the ultimate femme fatale and Glenn Ford as a young thug. The film is known for cinematographer..."
Argentina,"Saludos_Amigos","Saludos Amigos","Saludos Amigos (Spanish for "Greetings, Friends") is a 1942 American live-action animated package film produced by Walt Disney and released by RKO Radio Pictures. It is the sixth Disney animated feature..."
Armenia,"The_Promise_(2016_film)","The Promise (2016 film)","The Promise is a 2016 American historical drama film directed by Terry George and starring Oscar Isaac, Charlotte Le Bon and Christian Bale, set in the final years of the Ottoman Empire. The plot is about..."
Armenia,"Calendar_(1993_film)","Calendar (1993 film)","Calendar (Armenian: Օրացույց) is a 1993 drama film directed by Atom Egoyan. Plot: A photographer (Atom Egoyan) is sent to Armenia to take pictures of churches for a calendar. He slowly begins to realise..."
Armenia,"Guardians_(2017_film)","Guardians (2017 film)","Guardians (Russian: Защитники, romanized: Zaschitniki or Zashchitniki) is a 2017 Russian superhero film directed by Russian-Armenian filmmaker Sarik Andreasyan and starring Sebastien Sisak, Anton Pampushnyy..."
Armenia,"Vodka_Lemon","Vodka Lemon","Vodka Lemon (Kurdish Sorani: ڤۆدکا لیمۆ) is a 2003 film directed by the Iraqi–Kurdish director Hiner Saleem. Plot: The movie is set in a Yazidi village in Armenia, still suffering economically from..."
Armenia,"Nahapet","Nahapet","Nahapet (Armenian: Նահապետ) is a 1977 Armenian drama film about a man who tries to rebuild his life after losing his wife and child in the Armenian genocide. It is based on a novel written by Hrachya Kochar..."
Armenia,"If_Only_Everyone","If Only Everyone","If Only Everyone (Armenian: Եթե բոլորը) is a 2012 Armenian drama film directed by Nataliya Belyauskene. The film was selected as the Armenian entry for the Best Foreign Language Oscar at the 85th Academy..."
Armenia,"Zangezur_(film)","Zangezur (film)","Zangezur is a 1938 Soviet Armenian film war film by Hamo Beknazarian. The film is about the Dashnak opposition to the incursion of the Red Army and the local Bolshevik partisans in the Armenian province..."
Armenia,"Anahit_(film)","Anahit (film)","Anahit (Armenian: Անահիտ, Russian: Анаит, romanized: Anait) is a 1947 Soviet adventure film, directed by Hamo Beknazarian and starring Hrachia Nersisyan, Avet Avetisyan and O. Buniatyan. Cast: Hrachia..."
Armenia,"Hello,_That's_Me!","Hello, That's Me!","Hello, It's Me! (Armenian: Բարև, ես եմ; translit. Barev, yes em) is a 1966 Armenian drama film directed by Frunze Dovlatyan. It was entered into the 1966 Cannes Film Festival, nominated to Palme d'Or and..."
Armenia,"Zare_(film)","Zare (film)","Zare (Armenian: Զարե) is a 1926 Soviet Armenian drama film, directed by Hamo Beknazarian. Plot: The royal administration using dimness and ignorance of the oppressed Kurds mercilessly exploit this..."
Aruba,"Natalee_Holloway_(film)","Natalee Holloway (film)","Natalee Holloway is a 2009 American television film directed by Mikael Salomon based on Beth Holloway's book about the 2005 disappearance of her daughter Natalee Holloway. The film stars Amy Gumenick as..."
Australia,"Finding_Dory","Finding Dory","Finding Dory is a 2016 American 3D computer-animated adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Directed by Andrew Stanton with co-direction by Angus MacLane..."
Australia,"Inception","Inception","Inception is a 2010 science fiction action film written, co-produced, and directed by Christopher Nolan, and co-produced by Emma Thomas. The film stars Leonardo DiCaprio as a professional thief who steals..."
Australia,"Lion_(2016_film)","Lion (2016 film)","Lion is a 2016 biographical drama film directed by Garth Davis (in his feature debut) and written by Luke Davies, based on the non-fiction book A Long Way Home by Saroo Brierley. The film stars Dev Patel..."
Australia,"Now_You_See_Me_2","Now You See Me 2","Now You See Me 2 is a 2016 American magic caper thriller film directed by Jon M. Chu and written by Ed Solomon. The film stars an ensemble cast that includes Mark Ruffalo, Jesse Eisenberg, Woody Harrelson..."
Australia,"The_Babadook","The Babadook","The Babadook is a 2014 Australian psychological horror drama film written and directed by Jennifer Kent in her directorial debut, and produced by Kristina Ceyton and Kristian Molière. The film stars Essie..."
Australia,"Mad_Max","Mad Max","Mad Max is a 1979 Australian dystopian action film directed by George Miller, produced by Byron Kennedy, and starring Mel Gibson as "Mad" Max Rockatansky, Joanne Samuel, Hugh Keays-Byrne, 
Australia,"Finding_Nemo","Finding Nemo","Finding Nemo is a 2003 American computer-animated adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Written and directed by Andrew Stanton with co-direction by Lee..."
Australia,"Geostorm","Geostorm","Geostorm is a 2017 American science-fiction disaster film directed, co-written, and co-produced by Dean Devlin in his feature film directorial debut. The film stars  Gerard Butler, Jim Sturgess, Ed Harris..."
