country,title,clean_title,extract
Estonia,"Candles_in_the_Dark","Candles in the Dark","Candles in the Dark is a 1993 American made for television Christmas drama film directed by Maximilian Schell. Produced for The Family Channel, the film stars Alyssa Milano and Chad Lowe. Plot: When..."
Estonia,"Viimne_reliikvia","Viimne reliikvia","Viimne reliikvia (Estonian for The last Relic) is a 1969 Estonian-language Soviet film based on Vürst Gabriel ehk Pirita kloostri viimsed päevad (Estonian for Prince Gabriel or The Last Days of Pirita..."
Estonia,"A_Spell_to_Ward_Off_the_Darkness","A Spell to Ward Off the Darkness","A Spell To Ward Off the Darkness is a 2013 experimental film directed by Ben Russell and Ben Rivers, starring Robert Aiki Aubrey Lowe. It was released to critical acclaim, winning two awards, including..."
Estonia,"Names_in_Marble_(film)","Names in Marble (film)","Names in Marble (Estonian: Nimed marmortahvlil) is an Estonian 2002 film directed by Elmo Nüganen. It is based on the novel of the same name written by Albert Kivikas in 1936 about the Estonian War of..."
Estonia,"Spring_(1969_film)","Spring (1969 film)","Spring (Estonian: Kevade) is a 1969 Estonian film directed by Arvo Kruusement and is a film adaptation of Oskar Luts' popular novel of the same name. The movie placed first place in the Estonian feature..."
Estonia,"Screwed_in_Tallinn","Screwed in Tallinn","Screwed in Tallinn (Swedish: Torsk på Tallinn) is a 1999 Swedish comedy-drama film written by and starring the comedy group Killinggänget, and directed by their member Tomas Alfredson. Made in a mockumentary..."
Estonia,"The_Poll_Diaries","The Poll Diaries","The Poll Diaries (German: Poll) is a 2010 German drama film directed by Chris Kraus. The Poll Diaries is the most expensive film that has ever been made in Estonia. Cast: Paula Beer as Oda von Siering..."
Estonia,"Revolution_of_Pigs","Revolution of Pigs","The Revolution of Pigs (Estonian: Sigade revolutsioon) is a 2004 Estonian comedy film that was a feature film debut for 2 young Estonian directors René Reinumägi and Jaak Kilmi.  Fueled by a great soundtrack..."
Eswatini,"The_Wild_Geese","The Wild Geese","The Wild Geese is a 1978 British-Swiss war film directed by Andrew V. McLaglen and starring Richard Burton, Roger Moore, Richard Harris, and Hardy Krüger. The screenplay concerns a group of mercenaries..."
Eswatini,"Wah-Wah_(film)","Wah-Wah (film)","Wah-Wah is a 2005 British-French-South African drama film written and directed by Richard E. Grant. Loosely based on his childhood in Swaziland (now Eswatini), as depicted in Grant's memoir, "The Wah-Wah..."
Eswatini,"Without_the_King","Without the King","Without the King is a 2007 documentary film by Michael Skolnik, an American filmmaker. It follows problems of Swaziland, a landlocked country in southern Africa.The film features Mswati III, the king of..."
Eswatini,"The_King_and_the_People","The King and the People","The King and the People is a 2013 documentary film by Simon Bright, a Zimbabwean filmmaker. It follows problems of Swaziland, a landlocked country in southern Africa.
The film features Mswati III, the..."
Ethiopia,"Beyond_Borders_(film)","Beyond Borders (film)","Beyond Borders is a 2003 romantic-drama film about aid workers, directed by  Martin Campbell and starring Angelina Jolie, Clive Owen, Teri Polo and Kate Ashfield. The original music score was composed..."
Ethiopia,"Into_the_Inferno_(film)","Into the Inferno (film)","Into the Inferno is a 2016 documentary film directed by Werner Herzog. In it, Herzog explores active volcanoes from around the world, and the people who live near them, with volcanologist and co-director..."
Ethiopia,"Shaft_in_Africa","Shaft in Africa","Shaft in Africa is a 1973 film directed by John Guillermin and is the third and final film in the blaxploitation trilogy of films starring Richard Roundtree as John Shaft. Stirling Silliphant wrote the..."
Ethiopia,"Black_Gold_(2006_film)","Black Gold (2006 film)","Black Gold is a 2006 documentary film that follows the efforts of an Ethiopian coffee-union manager as he travels the world to obtain a better price for his workers' coffee beans. The film was directed..."
Ethiopia,"Time_to_Kill_(1989_film)","Time to Kill (1989 film)","Time to Kill (Italian: Tempo di uccidere) is a 1989 Italian drama film starring Nicolas Cage and Italian actors Ricky Tognazzi and Giancarlo Giannini . It is directed by Giuliano Montaldo. The film is..."
Ethiopia,"Adwa_(film)","Adwa (film)","Adwa - An African Victory is a 1999 Ethiopian documentary film directed by Haile Gerima.  It concerns the Battle of Adowa (Adwa) (1896).Plot summary: In 1896, Ethiopia defeats an Italian military..."
Ethiopia,"Teza_(film)","Teza (film)","Teza is a 2008 Ethiopian drama film about the Derg period in Ethiopia. Teza won the top award at the 2009 Panafrican Film and Television Festival of Ouagadougou. The film was directed and written by Haile..."
Ethiopia,"The_Athlete_(2009_film)","The Athlete (2009 film)","The Athlete (Amharic: እትሌቱ, Atletu) is a 2009 Ethiopian drama film directed by Davey Frankel and Rasselas Lakew. The film was selected as the Ethiopian entry for the Best Foreign Language Film at the 83rd..."
Ethiopia,"The_Mask_of_Sheba","The Mask of Sheba","The Mask of Sheba is a 1970 American made-for-television adventure film starring Walter Pidgeon, Inger Stevens, Eric Braeden, William Marshall and Stephen Young. It is directed by David Lowell Rich and..."
Ethiopia,"Fascist_Legacy","Fascist Legacy","Fascist Legacy is a 1989 BBC documentary TV miniseries about Italian war crimes during World War II. It consists of two parts.
The first part itself consists of two sections and was aired on 1 November..."
Falkland Islands,"Pirates_of_Treasure_Island","Pirates of Treasure Island","Pirates of Treasure Island is a 2006 American comedy-drama film produced by The Asylum, loosely adapted from Robert Louis Stevenson's novel Treasure Island.
The film was criticized as an imitation of the..."
Falkland Islands,"Tumbledown","Tumbledown","Tumbledown is a 1988 BBC Television drama film set during the Falklands War. Directed by Richard Eyre, it stars Colin Firth, Paul Rhys, and David Calder. Synopsis: The film centres on the experiences..."
Falkland Islands,"Resurrected_(film)","Resurrected (film)","Resurrected is a 1989 drama film directed by Paul Greengrass in his directorial debut, written by Martin Allen, and starring David Thewlis. It is based on the story of the British soldier Philip Williams..."
Falkland Islands,"An_Ungentlemanly_Act","An Ungentlemanly Act","An Ungentlemanly Act is a 1992 BBC television film about the first days of the invasion of the Falkland Islands in 1982. Production: The film was written and directed by Stuart Urban, and commissioned..."
Falkland Islands,"Blessed_by_Fire","Blessed by Fire","Blessed by Fire (Spanish: Iluminados por el fuego) (2005) is an  Argentine film about the Falklands War written and directed by Tristán Bauer.  The film features Gastón Pauls, Pablo Ribba, César Albarracín..."
Falkland Islands,"Cysgod_Rhyfel","Cysgod Rhyfel","Cysgod Rhyfel, also known as The Shadow of War, is a 2014 documentary film which explores the mental effects of conflict on former soldiers and their families. Predominantly in Welsh, the film was first..."
Faroe Islands,"Barbara_(1997_film)","Barbara (1997 film)","Barbara is a 1997 Danish drama film directed by Nils Malmros and stars Anneke von der Lippe and Lars Simonsen. Adapted from the classic Faroese novel by writer Jørgen-Frantz Jacobsen, the film is about..."
Faroe Islands,"The_Dance_(1998_film)","The Dance (1998 film)","The Dance (Icelandic: Dansinn (pronunciation )) is a 1998 Icelandic drama film produced and directed by Ágúst Guðmundsson. It is set in the Faroe Islands and revolves a wedding which is 	
interrupted when..."
Faroe Islands,"Shadow_Over_the_Islands","Shadow Over the Islands","Schatten über den Inseln (English-language title: Shadow Over The Islands) is an East German black-and-white film, directed by Otto Meyer. It was released in 1952. Plot: In a small village on the..."
Federated States of Micronesia,"Deep_Sea_Monster_Reigo","Deep Sea Monster Reigo","Reigo: The Deep-Sea Monster vs. the Battleship Yamato (深海獣レイゴー, Shinkaijū Reigō) is a 2005 independent tokusatsu film by Shinpei Hayashiya. Veteran artist Keita Amemiya designed the titular monster. The..."
Fiji,"Soarin'","Soarin'","Soarin', also known as Soarin' Around the World, Soaring Over the Horizon and Soaring: Fantastic Flight is a flight motion simulator attraction at Disney California Adventure, Epcot, and Shanghai Disneyland..."
Fiji,"Santa_Banta_Pvt_Ltd","Santa Banta Pvt Ltd","Santa Banta Pvt. Ltd. is a 2016 Bollywood spy-comedy film directed by Akashdeep Sabir, produced by Viacom 18 and distributed by Viacom 18 and Cinetek Telefilms. The film features Vir Das, Boman Irani,..."
Fiji,"Boot_Camp_(film)","Boot Camp (film)","Boot Camp, also released in the UK as Punishment, is a 2008 psychological suspense thriller film written by Agatha Dominik and John Cox and directed by Christian Duguay.The film's working title was Straight..."
Fiji,"Doraemon:_Nobita_and_the_Island_of_Miracles—Animal_Adventure","Doraemon: Nobita and the Island of Miracles—Animal Adventure","Doraemon: Nobita and the Island of Miracles ~Animal Adventure~ (映画ドラえもん のび太と奇跡の島 ～アニマル アドベンチャー～, Eiga Doraemon Nobita to Kiseki no Shima 〜Animal Adventure〜), also known as Doraemon Animal Adventure and..."
Fiji,"Attack_of_the_Sabretooth","Attack of the Sabretooth","Attack of the Sabretooth is a 2005 American made-for-television horror film directed by George T. Miller and starring Robert Carradine, Nicholas Bell, Brian Wimmer and Stacy Haiduk. It was filmed on location..."
Fiji,"Elf_Bowling_the_Movie:_The_Great_North_Pole_Elf_Strike","Elf Bowling the Movie: The Great North Pole Elf Strike","Elf Bowling the Movie: The Great North Pole Elf Strike is a 2007 American computer animated film based on the game Elf Bowling. The film was outsourced in South Korea for its animation department and visual..."
Fiji,"Bula_Quo!","Bula Quo!","Bula Quo! is a 2013 British adventure comedy film directed by Stuart St Paul, starring Jon Lovitz, Craig Fairbrass, Laura Aikman and Status Quo musicians Francis Rossi and Rick Parfitt. Plot: The..."
Fiji,"The_Land_Has_Eyes","The Land Has Eyes","The Land Has Eyes (Pear ta ma 'on maf in Rotuman) is a 2004 Fiji Islander film written and directed by Vilsoni Hereniko. It is the first ever (and so far only) feature film from Fiji. Plot: The main..."
Fiji,"Girl_of_the_Port","Girl of the Port","Girl of the Port is a 1930 romantic film, directed by Bert Glennon, from a screenplay by Beulah Marie Dix with dialogue from Frank Reicher.  The film was based on a short story, entitled The Fire-walker..."
Fiji,"Avengers_of_the_Reef","Avengers of the Reef","Avengers of the Reef is a 1973 Australian children's film. Plot: Scientists Bill Stewart goes to Fiji with his son Tim to investigate the appearance of the Crown of Thorns starfish in the reefs off..."
Finland,"Hanna_(film)","Hanna (film)","Hanna is a 2011 action-adventure thriller film directed by Joe Wright. The film stars Saoirse Ronan as the title character, a girl raised in the wilderness of northern Finland by her father, an ex-CIA..."
Finland,"Big_Game_(2014_film)","Big Game (2014 film)","Big Game is a 2014 Finnish action-comedy adventure film directed by Jalmari Helander, based on the original story by Helander and Petri Jokiranta. The film stars Samuel L. Jackson, Onni Tommila, Felicity..."
Finland,"Shamitabh","Shamitabh","Shamitabh is a 2015 Indian satirical drama film written and directed by R. Balki. The film features Amitabh Bachchan, Dhanush and Akshara Haasan, in her debut, in the lead roles. The film is jointly produced..."
Finland,"The_Jackal_(1997_film)","The Jackal (1997 film)","The Jackal is a 1997 American political action thriller film directed by Michael Caton-Jones, and starring Bruce Willis, Richard Gere, and Sidney Poitier. The film, which is a loose remake of the 1973..."
Finland,"White_Nights_(1985_film)","White Nights (1985 film)","White Nights is a 1985 American drama film directed by Taylor Hackford and starring Mikhail Baryshnikov, Gregory Hines, Jerzy Skolimowski, Helen Mirren and Isabella Rossellini. It was choreographed by..."
Finland,"The_Unknown_Soldier_(2017_film)","The Unknown Soldier (2017 film)","The Unknown Soldier (Finnish: Tuntematon sotilas) is a 2017 Finnish war drama independent film and the third adaption of the 1954 bestselling Finnish classic novel of the same name by Väinö Linna, a book..."
Finland,"Night_on_Earth","Night on Earth","Night on Earth is a 1991 film written and directed by Jim Jarmusch. It is a collection of five vignettes, taking place during the same night, concerning the temporary bond formed between taxi driver and..."
Finland,"Rare_Exports:_A_Christmas_Tale","Rare Exports: A Christmas Tale","Rare Exports: A Christmas Tale is a 2010 Finnish dark fantasy horror thriller film written and directed by Jalmari Helander about people living near the Korvatunturi mountain who discover the secret behind..."
Finland,"Billion_Dollar_Brain","Billion Dollar Brain","Billion Dollar Brain is a 1967 British Technicolor espionage film directed by Ken Russell and based on the novel of the same name by Len Deighton. The film features Michael Caine as secret agent Harry..."
Finland,"The_Other_Side_of_Hope","The Other Side of Hope","The Other Side of Hope (Finnish: Toivon tuolla puolen) is a 2017 Finnish comedy-drama film written, produced, and directed by Aki Kaurismäki. The film was produced by Kaurismäki's Finnish company Sputnik..."
France,"Dunkirk_(2017_film)","Dunkirk (2017 film)","Dunkirk is a 2017 war film written, directed, and produced by Christopher Nolan that depicts the Dunkirk evacuation of World War II.  Its ensemble cast includes Fionn Whitehead, Tom Glynn-Carney, Jack..."
France,"Beauty_and_the_Beast_(2017_film)","Beauty and the Beast (2017 film)","Beauty and the Beast is a 2017 American musical romantic fantasy film directed by Bill Condon from a screenplay written by Stephen Chbosky and Evan Spiliotopoulos. Co-produced by Walt Disney Pictures and..."
France,"Inglourious_Basterds","Inglourious Basterds","Inglourious Basterds is a 2009 war film written and directed by Quentin Tarantino and starring Brad Pitt, Christoph Waltz, Michael Fassbender, Eli Roth, Diane Kruger, Til Schweiger and Mélanie Laurent..."
France,"Fifty_Shades_Freed_(film)","Fifty Shades Freed (film)","Fifty Shades Freed is a 2018 American erotic romantic drama film directed by James Foley and written by Niall Leonard, and based on E. L. James's 2012 novel of the same name. It is the third and final..."
France,"Beauty_and_the_Beast_(1991_film)","Beauty and the Beast (1991 film)","Beauty and the Beast is a 1991 American animated musical romantic fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 30th Disney animated feature film and..."
France,"Catch_Me_If_You_Can","Catch Me If You Can","Catch Me If You Can is a 2002 American biographical crime film directed and produced by Steven Spielberg from a screenplay by Jeff Nathanson. The film stars Leonardo DiCaprio and Tom Hanks, with Christopher..."
France,"Allied_(film)","Allied (film)","Allied is a 2016 British-American war thriller film directed by Robert Zemeckis and written by Steven Knight. It stars Brad Pitt as a Canadian intelligence officer and Marion Cotillard as a French Resistance..."
France,"The_Lost_City_of_Z_(film)","The Lost City of Z (film)","The Lost City of Z is a 2016 American biographical adventure drama film written and directed by James Gray, based on the 2009 book of the same name by David Grann. It portrays real events surrounding the..."
France,"Les_Misérables_(2012_film)","Les Misérables (2012 film)","Les Misérables is a 2012 musical drama film directed by Tom Hooper and scripted by William Nicholson, Alain Boublil, Claude-Michel Schönberg, and Herbert Kretzmer, based on the 1862 French novel of the..."
France,"Edge_of_Tomorrow","Edge of Tomorrow","Edge of Tomorrow (also known by its marketing tagline Live. Die. Repeat., and renamed as such on home release) is a 2014 American science fiction action film starring Tom Cruise and Emily Blunt. Doug Liman..."
French Guiana,"Papillon_(2017_film)","Papillon (2017 film)","Papillon is a 2017 biographical drama film directed by Michael Noer. It tells the story of French convict Henri Charrière (Charlie Hunnam), nicknamed Papillon ("butterfly"), who was imprisoned in 1933..."
French Guiana,"Papillon_(1973_film)","Papillon (1973 film)","Papillon is a 1973 historical period drama prison film directed by Franklin J. Schaffner. The screenplay by Dalton Trumbo and Lorenzo Semple Jr. was based on the 1969 autobiography by the French convict..."
French Guiana,"We're_No_Angels_(1955_film)","We're No Angels (1955 film)","We're No Angels is a 1955 Christmas comedy film directed by Michael Curtiz and starring Humphrey Bogart, Peter Ustinov, Aldo Ray, Joan Bennett, Basil Rathbone, and Leo G. Carroll. Shot in both  VistaVision..."
French Guiana,"The_Life_of_Emile_Zola","The Life of Emile Zola","The Life of Emile Zola is a 1937 American biographical film about 19th-century French author Émile Zola, starring Paul Muni and directed by William Dieterle, a German emigré.  It is notable as the second..."
French Guiana,"Passage_to_Marseille","Passage to Marseille","Passage to Marseille, also known as Message to Marseille, is a 1944 war film made by Warner Brothers, directed by Michael Curtiz. The screenplay was by Casey Robinson and Jack Moffitt from the novel Sans..."
French Guiana,"Strange_Cargo_(1940_film)","Strange Cargo (1940 film)","Strange Cargo is a 1940 American romantic drama film directed by Frank Borzage and starring Clark Gable and Joan Crawford in a story about a group of fugitive prisoners from a French penal colony. The..."
French Guiana,"Prisoner_of_Honor","Prisoner of Honor","Prisoner of Honor is a 1991 British made-for-television drama film directed by Ken Russell and starring Richard Dreyfuss, Oliver Reed and Peter Firth. It was made by Warner Bros. Television and distributed..."
French Guiana,"I_Escaped_from_Devil's_Island","I Escaped from Devil's Island","I Escaped from Devil's Island is a 1973 exploitation film about an escape attempt from Devil's Island. Roger Corman and Gene Corman produced this grim adventure saga which bears more than a passing resemblance..."
French Guiana,"Devil's_Island_(1939_film)","Devil's Island (1939 film)","Devil's Island is a 1939 American prison film directed by William Clemens and starring Boris Karloff. This film is notable for Karloff as the protagonist, opposed to the villain-like characters in his..."
French Guiana,"Condemned_(1929_film)","Condemned (1929 film)","Condemned is a 1929 American black and white pre-Code melodrama, directed by Wesley Ruggles, and starring Ronald Colman, Ann Harding, Dudley Digges, Louis Wolheim, William Elmer, and Wilhelm von Brincken..."
French Polynesia,"Adrift_(2018_film)","Adrift (2018 film)","Adrift is a 2018 American romantic drama film produced and directed by Baltasar Kormákur, and written by David Branson Smith, Aaron Kandell and Jordan Kandell. Based on a true story and set in 1983, the..."
French Polynesia,"Godzilla_(1998_film)","Godzilla (1998 film)","Godzilla is a 1998 American monster film directed and co-written by Roland Emmerich. The film is a reimagining of Toho's Godzilla franchise and is the 23rd film in the franchise and the first Godzilla..."
French Polynesia,"Six_Days,_Seven_Nights","Six Days, Seven Nights","Six Days, Seven Nights is a 1998 American adventure comedy film directed by Ivan Reitman and starring Harrison Ford and Anne Heche. The screenplay was written by Michael Browning. It was filmed on location..."
French Polynesia,"Mutiny_on_the_Bounty_(1962_film)","Mutiny on the Bounty (1962 film)","Mutiny on the Bounty is a 1962 American Technicolor epic historical drama film starring Marlon Brando, Trevor Howard and Richard Harris, based on the novel Mutiny on the Bounty by Charles Nordhoff and..."
French Polynesia,"Kon-Tiki_(2012_film)","Kon-Tiki (2012 film)","Kon-Tiki is a 2012 historical drama film directed by Joachim Rønning and Espen Sandberg about the 1947 Kon-Tiki expedition. The film was mainly shot on the island of Malta. The role of Thor Heyerdahl is..."
French Polynesia,"Mutiny_on_the_Bounty_(1935_film)","Mutiny on the Bounty (1935 film)","Mutiny on the Bounty is a 1935 American drama film directed by Frank Lloyd and starring Charles Laughton and Clark Gable, based on the Charles Nordhoff and James Norman Hall novel Mutiny on the Bounty..."
French Polynesia,"Donovan's_Reef","Donovan's Reef","Donovan's Reef is a 1963 American Technicolor film starring John Wayne. It was directed by John Ford and filmed on location on Kauai, Hawaii.
The cast included Elizabeth Allen, Lee Marvin, Jack Warden..."
French Polynesia,"The_Bounty_(1984_film)","The Bounty (1984 film)","The Bounty is a 1984 British historical drama film directed by Roger Donaldson, starring Mel Gibson and Anthony Hopkins, and produced by Bernard Williams with Dino De Laurentiis as executive producer...."
French Polynesia,"Love_Affair_(1994_film)","Love Affair (1994 film)","Love Affair is a 1994 American romantic drama film and a remake of the 1939 film of the same name. It was directed by Glenn Gordon Caron and produced by Warren Beatty from a screenplay by Robert Towne..."
French Polynesia,"How_to_Stuff_a_Wild_Bikini","How to Stuff a Wild Bikini","How to Stuff a Wild Bikini is a 1965 Pathécolor beach party film from American International Pictures.  The sixth entry in a seven-film series, the movie features Mickey Rooney, Annette Funicello, Dwayne..."
Gabon,"The_Rhythm_of_My_Life:_Ismael_Sankara","The Rhythm of My Life: Ismael Sankara","The Rhythm Of My Life: Ismael Sankara  is a short documentary film produced in Libreville, Gabon. It is written, directed and produced by Franck A. Onouviet and Marc A. Tchicot. The music is composed by..."
Gambia,"Roots_(1977_miniseries)","Roots (1977 miniseries)","Roots is an American television miniseries based on Alex Haley's 1976 novel Roots: The Saga of an American Family. The series first aired on ABC in January 1977. Roots received 37 Primetime Emmy Award..."
Gambia,"The_Mirror_Boy","The Mirror Boy","The Mirror Boy is a 2011 Nigerian fantasy adventure drama film written and directed by Obi Emelonye, produced by Patrick Campbell and starring Genevieve Nnaji, Osita Iheme and Edward Kagutuzi. The film..."
Gambia,"Gambia,_The_Smiling_Coast","Gambia, The Smiling Coast","Gambia, The Smiling Coast  is a Spanish 2010 documentary film set in Gambia. Synopsis: The documentary investigates the secrets of tourism, showing both its positive and its negative points. The tourism..."
Georgia,"Mom_(film)","Mom (film)","Mom is a 2017 Indian crime thriller film directed by Ravi Udyawar, based on a screenplay written by Aseel Safwat and  Girish Kohli. Produced by Randa Elamin, Sunil Manchanda, Mukesh Talreja, Naresh Agarwal..."
Georgia,"Undisputed_III:_Redemption","Undisputed III: Redemption","Undisputed III: Redemption is a 2010 film directed by Isaac Florentine and starring Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir and Hristo Shopov. The third installment in franchise started by the..."
Georgia,"Sniper:_Ghost_Shooter","Sniper: Ghost Shooter","Sniper: Ghost Shooter is a 2016 direct-to-video action film. The film is the sixth installment of the Sniper film series. Plot: Brandon Beckett is given another mission. Elite snipers Brandon Beckett..."
Georgia,"5_Days_of_War","5 Days of War","5 Days of War (also known as 5 Days of August) is a 2011 action film by Finnish director Renny Harlin. The story is about the Russo-Georgian War over the Russian-backed breakaway autonomous republic of..."
Georgia,"Ali_and_Nino_(film)","Ali and Nino (film)","Ali and Nino (Əli və Nino) is a 2016 British drama romance war film based on Kurban Said's novel of the same name. The film is written by Christopher Hampton and directed by Asif Kapadia. Most of the film..."
Georgia,"Don't_Breathe_(2014_film)","Don't Breathe (2014 film)","Don't Breathe is a 2014 Georgian-language French documentary film directed by Nino Kirtadze. It was screened in the Contemporary World Cinema section at the 2014 Toronto International Film Festival...."
Georgia,"The_Loneliest_Planet","The Loneliest Planet","The Loneliest Planet is a 2011 film written and directed by Julia Loktev, starring Gael Garcia Bernal, Hani Furstenberg, and Georgian actor Bidzina Gujabidze. The plot centers around a young couple who..."
Georgia,"August_Eighth","August Eighth","August Eighth (Russian: «Август. Восьмого», translit. Avgust. Vosʹmogo) (2012) is a Russian action drama film about the 2008 South Ossetia war. It was produced and directed by Dzhanik Fayziev. Background:..."
Georgia,"Tbilisi,_I_Love_You","Tbilisi, I Love You","Tbilisi, I Love You is a 2014 anthology film starring an ensemble cast of actors of various nationalities and part of Emmanuel Benbihy’s Cities Of Love franchise that started with Paris, je t'aime and..."
Georgia,"A_Chef_in_Love","A Chef in Love","A Chef in Love, (Georgian: შეყვარებული კულინარის 1001 რეცეპტი / Shekvarebuli kulinaris ataserti retsepti) is a 1996 Georgian film directed by Nana Dzhordzhadze. It stars Pierre Richard and Nino Kirtadze..."
Germany,"Captain_America:_Civil_War","Captain America: Civil War","Captain America: Civil War is a 2016 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It..."
Germany,"Wonder_Woman_(2017_film)","Wonder Woman (2017 film)","Wonder Woman is a 2017 American superhero film based on the DC Comics character of the same name, produced by DC Entertainment in association with RatPac Entertainment and Chinese company Tencent Pictures..."
Germany,"X-Men:_Apocalypse","X-Men: Apocalypse","X-Men: Apocalypse is a 2016 American superhero film directed and produced by Bryan Singer and written by Simon Kinberg from a story by Singer, Kinberg, Michael Dougherty, and Dan Harris. The film is based..."
Germany,"Spider-Man:_Homecoming","Spider-Man: Homecoming","Spider-Man: Homecoming is a 2017 American superhero film based on the Marvel Comics character Spider-Man, co-produced by Columbia Pictures and Marvel Studios, and distributed by Sony Pictures Releasing..."
Germany,"The_Avengers_(2012_film)","The Avengers (2012 film)","Marvel's The Avengers (classified under the name Marvel Avengers Assemble in the United Kingdom and Ireland), or simply The Avengers, is a 2012 American superhero film based on the Marvel Comics superhero..."
Germany,"Transformers:_The_Last_Knight","Transformers: The Last Knight","Transformers: The Last Knight is a 2017 American science fiction action film based on the Transformers toy line. It is the fifth installment of the live-action Transformers film series and a sequel to..."
Germany,"The_Fate_of_the_Furious","The Fate of the Furious","The Fate of the Furious (alternatively known as Fast & Furious 8 and Fast 8, and often stylized as F8) is a 2017 American action film directed by F. Gary Gray and written by Chris Morgan. It is the eighth..."
Germany,"Bohemian_Rhapsody_(film)","Bohemian Rhapsody (film)","Bohemian Rhapsody is a 2018 biographical drama film about Freddie Mercury, the lead singer of the British rock band Queen. It follows the singer's life from the formation of the band up to their 1985 Live..."
Germany,"The_Danish_Girl_(film)","The Danish Girl (film)","The Danish Girl is a 2015 biographical romantic drama film directed by Tom Hooper, based on the 2000 novel of the same name by David Ebershoff, and loosely inspired by the lives of Danish painters Lili..."
Germany,"Mission:_Impossible_–_Fallout","Mission: Impossible – Fallout","Mission: Impossible – Fallout is a 2018 American action spy film written, produced, and directed by Christopher McQuarrie. It is the sixth installment in the Mission: Impossible film series, and the second..."
Ghana,"Sankofa_(film)","Sankofa (film)","Sankofa is a 1993 Burkinabé drama film directed by Haile Gerima centered on the Atlantic slave trade. The storyline features Oyafunmike Ogunlano, Kofi Ghanaba, Mutabaruka, Alexandra Duah and Afemo Omilami..."
Ghana,"Deadly_Voyage","Deadly Voyage","Deadly Voyage is a 1996  television film directed by John Mackenzie and written by Stuart Urban. Produced by Union Pictures and John Goldschmidt's Viva Films for joint distribution to BBC Films and HBO..."
Ghana,"Adams_Apples","Adams Apples","Adams Apples is a Ghanaian film series, starring Yvonne Okoro, Joselyn Dumas, John Dumelo, Naa Ashorkor Mensa-Doku, Anima Misa Amoah, Adjetey Anang, Helene Asante, SoulKnight Jazz, Jasmine Baroudi, Vincent..."
Ghana,"The_Cursed_Ones","The Cursed Ones","The Cursed Ones is a 2015 British film that was directed by Nana Obiri Yeboah and produced by Nicholas K. Lory. The original screenplay was written by Maximilian Claussen. The film tells the story of a..."
Ghana,"2016_(2010_film)","2016 (2010 film)","2016 is a 2010 Ghanaian direct-to-video science-fiction action film directed by the pseudonymous director Ninja. The film takes place in the year 2010 and follows Ghanaians who must survive a group of..."
Ghana,"Love_Brewed_in_the_African_Pot","Love Brewed in the African Pot","Love Brewed in the African Pot is a 1980 Ghanaian film directed by Kwaw Ansah. It was reportedly the first privately financed Ghanaian feature film. Plot: The film takes place in Ghana during the..."
Ghana,"Location_Africa","Location Africa","Location Africa is a  1987 film by Swiss filmmaker Steff Gruber. Overview: During the work of filming Fetish & Dreams Steff Gruber was introduced by his cameraman Rainer Klausmann to the German film..."
Ghana,"Emmanuel's_Gift","Emmanuel's Gift","Filmmakers Lisa Lax and Nancy Stern capture Emmanuel Yeboah’s heart, spirit, and determination through the 2005 documentary Emmanuel’s Gift, based on the true story of Emmanuel’s life solely dedicated..."
Ghana,"Jaguar_(1967_film)","Jaguar (1967 film)","Jaguar is a 1967 French ethnographic film directed by Jean Rouch. Set in the 1950s, it follows three men from Niger, Damouré, Lam, and Illo, who travel to the Gold Coast (now Ghana) for work. Much of the..."
Ghana,"Checkmate_(2010_film)","Checkmate (2010 film)","Checkmate is a Ghanaian movie that was written and directed by Shirley Frimpong Manso for Sparrow Productions. It was produced by Ken Attoh, features stars like Nadia Buari, Ekow Blankson, Naa Ashorkor..."
Gibraltar,"Not_Wanted_on_Voyage","Not Wanted on Voyage","Not Wanted on Voyage is a 1957 British comedy film directed by Maclean Rogers and starring Ronald Shiner, Brian Rix and Catherine Boyle. The film was made at British National Studios. It is based on a..."
Gibraltar,"The_Clue_of_the_Missing_Ape","The Clue of the Missing Ape","The Clue of the Missing Ape, a.k.a. Gibraltar Adventure,  is a 1953 English children's film largely set in Gibraltar.  Directed by James Hill, it was produced by the Gaumont Specialised Film Unit, a descendant..."
Gibraltar,"Generał._Zamach_na_Gibraltarze","Generał. Zamach na Gibraltarze","Generał. Zamach na Gibraltarze (English: General. Assassination on Gibraltar) is a Polish historical film, based on the last days of General Wladyslaw Sikorski during World War II. It was released in 2009..."
Gibraltar,"Recall_(film)","Recall (film)","..."
Greece,"Jason_Bourne_(film)","Jason Bourne (film)","Jason Bourne is a 2016 American action spy film directed by Paul Greengrass and written by Paul Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel..."
Greece,"Mamma_Mia!_Here_We_Go_Again","Mamma Mia! Here We Go Again","Mamma Mia! Here We Go Again is a 2018 jukebox musical romantic comedy film written and directed by Ol Parker, from a story by Parker, Catherine Johnson, and Richard Curtis. It is a follow-up to the 2008..."
Greece,"300_(film)","300 (film)","300 is a 2006 American period action film based on the 1998 comic series of the same name by Frank Miller and Lynn Varley. Both are fictionalized retellings of the Battle of Thermopylae within the Persian..."
